제목,디버깅활동,발생이슈,시료 외 기타구성,조치결과/검증,참고이미지
구분,주요 모듈 구성 (전기적),,기구 및 기타 변경 사항 (물리적),테스트 결과,
시료구성 #2,"• 주처리(Main) 모듈 교체 
 • DSP 모듈변경 (ZCT 변경) 
 • 나머지 모듈 모두 기존 60Hz EMC 시료 조립
(RE 조치된 Comm 모듈 사용)",,"• 외함 안쪽 도장 제거 (Conductive)
 • PCB FG 가이드 재부착","Unstable
(1차: OK / 2차: Fail)",
시료구성 #3,"• DSP 모듈변경 (ZCT 변경) 
 • 나머지 모듈 모두 기존 60Hz EMC 시료 원복
(RE 조치된 Comm 모듈 포함)",,• 베이스-HMI 간 랜선/전원선 Ferrite Core 추가,FAIL,
시료구성 #4,"• 시료구성 #3과 동일 
 (DSP모듈 ZCT 변경 + 나머지 모듈 모두 기존 60Hz EMC 시료로 모두 원복
(RE 조치된 Comm 모듈 포함)",,"• Comm모듈과 랩탑간 LAN 케이블 분리 (Open) 
 • 전원선 Ferrite Core 유지",1차 /2차 : OK,
시료구성 #1,"• 이더넷 불능 Comm모듈 (가짜 옴론커넥터) 
 • DSP 모듈변경 (ZCT 변경) 
 • 나머지 모듈 모두 기존 60Hz EMC 시료 조립","임펄스 ±2kv, 10분, CTP보드 I0 에 인가시 L1-L2 간 facility service 팝업.","• 내함 나사머리 돌출 조립 (그라운딩강화)
  • Comm 모듈과 랩탑간 통신안되는 버전",OK,
,,,•  Comm모듈과 랩탑간 LAN 케이블 연결. But Ping 은 중지.,1차 /2차 : OK,
시료구성 #5,"  • 시료구성 #3 조건 下,
  • R10 과 R9 를 추가하여 DGND-FG간 브릿지 구성. (위에 2개, 아래2개,
  • R10 과 R9 측 FG에 쿠션패드 적용",,"  • Ferrite core 도 원복 (ZCAT173)","  • I0, 2kv 10분 임펄스내성시험 통과",%ED%99%94%EB%A9%B4_%EC%BA%A1%EC%B2%98_2026-02-26_110142.png
시료구성 #6,"  • 시료구성 #3 조건 下,
  • 통신모듈은 신규제작된 (OSC출력에 병렬 CAP 10pF 달린) 장착
  • R7, R8 , R9 제거
  • R10만 남김 (1점 접지)","✅이후부터는 임펄스 전압을 2.2kv 로 상향하여 시험.
I0 단 임펄스시험은 통과하였으나 CT 일괄시험 Fail. service facility 팝업은 사라졌고 의도대로 재부팅됨.",,"  • CT A 상 시험 Pass (26.02.23)
  • CT A,B,C 상 시험 Pass
  • ZCT I0 시험 Pass",%EA%B7%B8%EB%A6%BC1.png
시료구성 #7,"Q: 주처리-hmI간 이더넷라인이, 내함접지판으로 부터 방사파 간섭을 받는가 ?
⇒HMI 를 본체로부터 분리하여 앞으로 이격. ","  • I0 와 CT 일괄 임펄스내성은 Pass 하였으나 
  • PT일괄시험 재부팅발생",,HMI 를 GIPAM 본체로부터 이격하였으나 고장증상개선없음,image2.png
시료구성 #8,HMI-주처리간 ferrite 고주파대역 core 삽입,,,효과없음,
,제품하부 접지용 핑거 3개 삽입,,,효과없음,
,제품과 임펄스기기간 노후접지선 수선,,,효과없음,
시료구성 #9,시료구성 #6 (보드하부 Bottom 면에 R10 저항만 남기고 모든 브리지 0Ω 저항제거)+ 보드상부 Top 면에 커퍼를 긁어서 0Ω 한개 연결,,,"CT 일괄 Pass
PT 일괄 Pass","image.png, image1.png"
시료구성 #10,"[3kv 로 올려서 재현 및 조치 유효성 검증]  
• CPT 보드 DGND-FG 간 브리지 0Ω 저항을 전부 Top 면으로 이동. (via 임피던스 회피)","  • ZCT L1-PE간 -2.2kv fail.
  • CT일괄 L1-L2간 -2.2kv fail",,"  1. CT일괄 ±3kv, L1-PE/L2-PE/L1-L2 통과
  2. ZCT ±3kv, L1-PE/L2-PE/L1-L2 통과
  3. PT 일괄  ±3kv, L1-PE/L2-PE/L1-L2 통과
  4. 제어전원 L1-PE/L2-PE/L1-L2/L2-L1 ±2kv 10분, 3kv 1분시험 통과
  5. DI / DO 
  6. 아나로그회로
  7. 통신회로","%ED%99%94%EB%A9%B4_%EC%BA%A1%EC%B2%98_2026-03-03_225217.png, %ED%99%94%EB%A9%B4_%EC%BA%A1%EC%B2%98_2026-03-03_225203.png, %EA%B7%B8%EB%A6%BC1%201.png"
